fid,latitude,longitude,LONGTITUDE
"1",40.68371,-73.94028,
"2",40.70186,-73.92745,
"3",40.68554,-73.9409,
"4",40.68043,-73.93934,
"5",40.7042,-73.9356,
"6",40.70032,-73.9383,
"7",40.70093,-73.92609,
"8",40.68413,-73.92357,
"9",40.68373,-73.92377,
"10",40.68296,-73.93662,
"11",40.68281,-73.93524,
"12",40.70641,-73.91765,
"13",40.70382,-73.89797,
"14",40.68237,-73.9415,
"15",40.69546,-73.93503,
"16",40.70234,-73.89816,
"17",40.6829,-73.93549,
"18",40.70411,-73.89934,
"19",40.688,-73.9171,
"20",40.683,-73.91981,
"21",40.70514,-73.91922,
"22",40.68949,-73.91708,
"23",40.68314,-73.93963,
"24",40.69305,-73.93185,
"25",40.68448,-73.92747,
"26",40.70665,-73.94061,
"27",40.68569,-73.93038,
"28",40.68101,-73.94081,
"29",40.68669,-73.91989,
"30",40.67963,-73.93908,
"31",40.6798,-73.93908,
"32",40.70283,-73.92131,
"33",40.69055,-73.92357,
"34",40.68897,-73.93569,
"35",40.68186,-73.94113,
"36",40.68364,-73.91076,
"37",40.69025,-73.93323,
"38",40.70051,-73.92204,
"39",40.68516,-73.92521,
"40",40.67964,-73.93946,
"41",40.70163,-73.90867,
"42",40.70832,-73.94157,
"43",40.68707,-73.91918,
"44",40.70271,-73.91566,
"45",40.70278,-73.92673,
"46",40.68812,-73.93254,
"47",40.70642,-73.91665,
"48",40.68631,-73.93702,
"49",40.68255,-73.91957,
"50",40.68106,-73.9292,
"51",40.69657,-73.9129,
"52",40.68991,-73.93179,
"53",40.68174,-73.91921,
"54",40.69755,-73.91187,
"55",40.70793,-73.91987,
"56",40.70215,-73.91139,
"57",40.70462,-73.9228,
"58",40.70712,-73.94013,
"59",40.70507,-73.9353,
"60",40.68534,-73.93433,
"61",40.704,-73.93285,
"62",40.70339,-73.92945,
"63",40.68979,-73.91661,
"64",40.68838,-73.94193,
"65",40.68559,-73.93896,
"66",40.70054,-73.90255,
"67",40.68813,-73.92817,
"68",40.68944,-73.9376,
"69",40.6933,-73.90823,
"70",40.68825,-73.92951,
"71",40.69227,-73.90852,
"72",40.70753,-73.92048,
"73",40.68543,-73.93838,
"74",40.69849,-73.92678,
