fid,ID,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station name,end station latitude,end station longitude,birth year,gender
"3","7",2020/7/6 0:00,2020/7/6 0:11,"3074",Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,Willoughby Ave & Myrtle Ave,40.69757,-73.93098,"1969","0"
"4","9",2020/7/6 0:00,2020/7/6 0:08,"3423",West Drive & Prospect Park West,40.66106337,-73.97945255,10 St & 2 Ave,40.671907,-73.993612,"1990","1"
"5","11",2020/7/6 0:00,2020/7/6 0:12,"3145",E 84 St & Park Ave,40.77862688,-73.95772073,2 Ave & E 122 St,40.8006721,-73.9349,"1988","1"
"6","12",2020/7/6 0:01,2020/7/6 0:21,"3167",Amsterdam Ave & W 73 St,40.77966809,-73.98093045,W 26 St & 10 Ave,40.74971775,-74.00295035,"1982","1"
"7","13",2020/7/6 0:01,2020/7/6 0:07,"3518",Lenox Ave & W 126 St,40.808442,-73.9452087,W 135 St & Lenox Terrace Pl,40.813619,-73.939336,"1987","2"
"8","14",2020/7/6 0:01,2020/7/6 0:12,"3882",Norman St & Wyckoff Ave,40.69517,-73.90311,Central Ave & Melrose St,40.70112,-73.93039,"1969","0"
"9","15",2020/7/6 0:01,2020/7/6 0:07,"3518",Lenox Ave & W 126 St,40.808442,-73.9452087,W 135 St & Lenox Terrace Pl,40.813619,-73.939336,"1987","2"
"10","17",2020/7/6 0:01,2020/7/6 0:12,"3882",Norman St & Wyckoff Ave,40.69517,-73.90311,Central Ave & Melrose St,40.70112,-73.93039,"1969","0"
"11","22",2020/7/6 0:01,2020/7/6 0:20,"312",Allen St & Stanton St,40.722055,-73.989111,E 51 St & Lexington Ave,40.75714758,-73.97207836,"1989","1"
"12","23",2020/7/6 0:01,2020/7/6 0:14,"305",E 58 St & 3 Ave,40.76095756,-73.96724467,2 Ave & E 96 St,40.7839636,-73.9471673,"1991","1"
"13","29",2020/7/6 0:02,2020/7/6 0:16,"3518",Lenox Ave & W 126 St,40.808442,-73.9452087,St Nicholas Ave & E 134 St,40.816234,-73.948222,"1983","1"
"15","31",2020/7/6 0:02,2020/7/6 0:23,"499",Broadway & W 60 St,40.76915505,-73.98191841,W 100 St & Broadway,40.7973721,-73.97041192,"1969","0"
"17","33",2020/7/6 0:02,2020/7/6 0:08,"3309",E 97 St & 3 Ave,40.7859201,-73.94860294,1 Ave & E 94 St,40.7817212,-73.94594,"1982","1"
"19","37",2020/7/6 0:02,2020/7/6 0:26,"259",South St & Whitehall St,40.70122128,-74.01234218,6 Ave & W 33 St,40.74901271,-73.98848395,"1969","0"
"20","40",2020/7/6 0:02,2020/7/6 0:25,"259",South St & Whitehall St,40.70122128,-74.01234218,6 Ave & W 33 St,40.74901271,-73.98848395,"1989","1"
"21","41",2020/7/6 0:02,2020/7/6 0:16,"285",Broadway & E 14 St,40.73454567,-73.99074142,Centre St & Worth St,40.71494807,-74.00234482,"1994","2"
"22","45",2020/7/6 0:03,2020/7/6 0:22,"128",MacDougal St & Prince St,40.72710258,-74.00297088,Broad St & Bridge St,40.70365182,-74.01167797,"1983","1"
"23","46",2020/7/6 0:03,2020/7/6 8:20,"499",Broadway & W 60 St,40.76915505,-73.98191841,W 100 St & Manhattan Ave,40.795,-73.9645,"1969","0"
"24","49",2020/7/6 0:03,2020/7/6 0:08,"3263",Cooper Square & Astor Pl,40.72951496,-73.9907527,E 9 St & Avenue C,40.72521311,-73.97768752,"1986","2"
"25","51",2020/7/6 0:03,2020/7/6 0:29,"3065",Union Ave & Wallabout St,40.70029511,-73.95032283,S 5 Pl & S 5 St,40.710451,-73.960876,"1995","1"
"26","55",2020/7/6 0:03,2020/7/6 0:10,"500",Broadway & W 51 St,40.76228826,-73.98336183,8 Ave & W 33 St,40.751551,-73.993934,"1966","2"
"27","57",2020/7/6 0:04,2020/7/6 0:31,"3764",Bushwick Ave & McKibbin St,40.705517,-73.93936,W 11 St & 6 Ave,40.73532427,-73.99800419,"1957","2"
"28","64",2020/7/6 0:04,2020/7/6 0:12,"3069",Lorimer St & Broadway,40.70411791,-73.94818595,Suydam St & Broadway,40.69544,-73.93223,"1949","2"
"29","65",2020/7/6 0:04,2020/7/6 0:12,"267",Broadway & W 36 St,40.75097711,-73.98765428,Broadway & E 14 St,40.73454567,-73.99074142,"1969","0"
"30","68",2020/7/6 0:04,2020/7/6 0:11,"3440",Fulton St & Adams St,40.69241829,-73.98949474,Duffield St & Willoughby St,40.69221589,-73.9842844,"1995","2"
"31","70",2020/7/6 0:05,2020/7/6 0:09,"494",W 26 St & 8 Ave,40.74734825,-73.99723551,W 38 St & 8 Ave,40.75466591,-73.99138152,"2000","1"
"32","71",2020/7/6 0:05,2020/7/6 0:14,"3630",Frederick Douglass Blvd & W 115 St,40.8038654,-73.9559308,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,"2000","1"
"33","72",2020/7/6 0:05,2020/7/6 0:43,"504",1 Ave & E 16 St,40.73221853,-73.98165557,Pearl St & Hanover Square,40.7047177,-74.00926027,"1996","1"
"34","75",2020/7/6 0:05,2020/7/6 0:24,"83",Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,Henry St & Bay St,40.6725058,-74.00494695,"1997","1"
"35","77",2020/7/6 0:06,2020/7/6 0:23,"494",W 26 St & 8 Ave,40.74734825,-73.99723551,Fulton St & Broadway,40.711066,-74.009447,"1982","1"
"36","79",2020/7/6 0:06,2020/7/6 0:34,"3641",Broadway & W 25 St,40.74286877,-73.98918629,Broadway & W 29 St,40.7462009,-73.98855723,"1988","1"
"37","81",2020/7/6 0:06,2020/7/6 0:20,"319",Fulton St & Broadway,40.711066,-74.009447,W 4 St & 7 Ave S,40.73401143,-74.00293877,"1982","1"
"38","83",2020/7/6 0:06,2020/7/6 0:29,"3628",Lenox Ave & W 117 St,40.8025566,-73.9490782,E 144 St & Brook Ave,40.811675,-73.917037,"1992","1"
"39","86",2020/7/6 0:06,2020/7/6 0:33,"3378",E 76 St & Park Ave,40.773763,-73.96222088,Central Park West & W 100 St,40.79406661,-73.96286845,"1969","0"
"40","89",2020/7/6 0:07,2020/7/6 0:14,"505",6 Ave & W 33 St,40.74901271,-73.98848395,Pershing Square North,40.751873,-73.977706,"1994","1"
"41","92",2020/7/6 0:07,2020/7/6 0:22,"324",DeKalb Ave & Hudson Ave,40.689888,-73.981013,Allen St & Hester St,40.71605866,-73.99190759,"1977","1"
"42","93",2020/7/6 0:07,2020/7/6 0:15,"3689",W 104 St & Amsterdam Ave,40.79904139,-73.9664948,Lexington Ave & E 111 St,40.7954121,-73.9441232,"1979","1"
"43","94",2020/7/6 0:07,2020/7/6 0:33,"3378",E 76 St & Park Ave,40.773763,-73.96222088,Central Park West & W 100 St,40.79406661,-73.96286845,"1984","2"
"45","97",2020/7/6 0:07,2020/7/6 0:13,"320",Leonard St & Church St,40.717571,-74.005549,Grand St & Elizabeth St,40.718822,-73.99596,"1974","1"
"46","98",2020/7/6 0:08,2020/7/6 0:12,"250",Lafayette St & Jersey St,40.72456089,-73.99565293,Sullivan St & Washington Sq,40.73047747,-73.99906065,"1975","2"
"47","100",2020/7/6 0:08,2020/7/6 0:24,"416",Cumberland St & Lafayette Ave,40.68753406,-73.97265183,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,"1985","1"
"48","101",2020/7/6 0:08,2020/7/6 0:37,"3044",Albany Ave & Fulton St,40.6800105,-73.938475,Grand St & Elizabeth St,40.718822,-73.99596,"1969","0"
"49","106",2020/7/6 0:08,2020/7/6 0:13,"3836",Bushwick Ave & Linden St,40.69146,-73.92146,Suydam St & Broadway,40.69544,-73.93223,"1969","0"
"50","110",2020/7/6 0:09,2020/7/6 0:37,"3044",Albany Ave & Fulton St,40.6800105,-73.938475,Grand St & Elizabeth St,40.718822,-73.99596,"1996","1"
"51","111",2020/7/6 0:09,2020/7/6 0:16,"3440",Fulton St & Adams St,40.69241829,-73.98949474,Wyckoff St & Nevins St,40.683426,-73.984275,"1967","1"
"52","112",2020/7/6 0:09,2020/7/6 0:26,"336",Sullivan St & Washington Sq,40.73047747,-73.99906065,Broadway & W 41 St,40.75513557,-73.98658032,"1969","0"
"53","113",2020/7/6 0:09,2020/7/6 0:18,"3357",W 106 St & Amsterdam Ave,40.8008363,-73.96644925,E 110 St & Madison Ave,40.7961535,-73.94782145,"1989","1"
"54","118",2020/7/6 0:10,2020/7/6 0:44,"3255",8 Ave & W 31 St,40.75058535,-73.99468482,S 5 Pl & S 5 St,40.710451,-73.960876,"1986","1"
"55","123",2020/7/6 0:10,2020/7/6 0:29,"3064",Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,Berry St & N 8 St,40.7190095,-73.95852515,"1992","2"
"56","125",2020/7/6 0:10,2020/7/6 0:28,"519",Pershing Square North,40.751873,-73.977706,6 Ave & Broome St,40.72430832,-74.00473036,"1987","1"
"57","128",2020/7/6 0:10,2020/7/6 0:17,"3668",Leonard St & Nassau Ave,40.72395678,-73.94984365,Sharon St & Olive St,40.715353,-73.93856,"1986","1"
"58","129",2020/7/6 0:10,2020/7/6 0:33,"3082",Hope St & Union Ave,40.71167351,-73.95141312,Bedford Ave & Bergen St,40.676368,-73.952918,"1992","2"
